,teamstatspk,Team,games_played,wins,losses,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,blocks_attempted,personal_fouls,personal_fouls_drawn,plus_minus,season,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnoversPG,PersonalFoulsPG,WinRatio
0,0,Boston Celtics,82,64,18,0.78,3966,9887,3601,7396,48.7,1351,3482,38.8,1334,1654,80.7,876,2923,3799,2207,979,557,538,304,1326,1416,930,2023-24,120.57317073170732,46.329268292682926,26.914634146341463,6.7926829268292686,6.560975609756097,11.939024390243903,16.170731707317074,0.7804878048780488
1,1,Denver Nuggets,82,57,25,0.695,3941,9418,3610,7279,49.6,958,2560,37.4,1240,1628,76.2,881,2762,3643,2415,1036,585,456,394,1489,1467,431,2023-24,114.85365853658537,44.426829268292686,29.451219512195124,7.134146341463414,5.560975609756097,12.634146341463415,18.158536585365855,0.6951219512195121
2,2,Oklahoma City Thunder,82,57,25,0.695,3961,9847,3653,7324,49.9,1090,2805,38.9,1451,1759,82.5,722,2725,3447,2223,1039,694,538,419,1545,1548,608,2023-24,120.08536585365853,42.03658536585366,27.109756097560975,8.463414634146341,6.560975609756097,12.670731707317072,18.841463414634145,0.6951219512195121
3,3,Minnesota Timberwolves,82,56,26,0.683,3961,9264,3383,6974,48.5,1037,2681,38.7,1461,1881,77.7,770,2807,3577,2184,1162,647,497,371,1544,1630,529,2023-24,112.97560975609755,43.6219512195122,26.634146341463413,7.890243902439025,6.060975609756097,14.170731707317072,18.829268292682926,0.6829268292682927
4,4,LA Clippers,82,51,31,0.622,3941,9481,3473,7108,48.9,1036,2719,38.1,1499,1817,82.5,822,2701,3523,2097,1078,640,413,384,1519,1537,269,2023-24,115.6219512195122,42.96341463414634,25.573170731707318,7.804878048780488,5.036585365853658,13.146341463414634,18.524390243902438,0.6219512195121951
5,5,Dallas Mavericks,82,50,32,0.61,3941,9664,3535,7352,48.1,1197,3242,36.9,1397,1842,75.8,797,2724,3521,2106,1027,563,406,331,1500,1667,181,2023-24,117.85365853658537,42.9390243902439,25.682926829268293,6.865853658536586,4.951219512195122,12.524390243902438,18.29268292682927,0.6097560975609756
6,6,New York Knicks,82,50,32,0.61,3946,9249,3385,7272,46.5,1083,2936,36.9,1396,1789,78.0,1039,2665,3704,1998,1085,612,336,431,1447,1565,376,2023-24,112.79268292682927,45.170731707317074,24.365853658536587,7.463414634146342,4.097560975609756,13.231707317073171,17.646341463414632,0.6097560975609756
7,7,Milwaukee Bucks,82,49,33,0.598,3961,9756,3538,7258,48.7,1163,3122,37.3,1517,1960,77.4,772,2850,3622,2176,1059,558,413,347,1574,1576,215,2023-24,118.97560975609755,44.170731707317074,26.536585365853657,6.804878048780488,5.036585365853658,12.914634146341463,19.195121951219512,0.5975609756097561
8,8,New Orleans Pelicans,82,49,33,0.598,3941,9436,3484,7165,48.6,1023,2673,38.3,1445,1873,77.1,852,2753,3605,2210,1067,684,378,424,1508,1506,362,2023-24,115.07317073170732,43.96341463414634,26.951219512195124,8.341463414634147,4.609756097560975,13.012195121951219,18.390243902439025,0.5975609756097561
9,9,Phoenix Suns,82,49,33,0.598,3956,9532,3482,7063,49.3,1020,2671,38.2,1548,1915,80.8,831,2783,3614,2218,1221,610,492,372,1475,1612,251,2023-24,116.2439024390244,44.073170731707314,27.048780487804876,7.439024390243903,6.0,14.890243902439025,17.98780487804878,0.5975609756097561
10,10,Cleveland Cavaliers,82,48,34,0.585,3961,9236,3425,7148,47.9,1108,3016,36.7,1278,1671,76.5,808,2742,3550,2299,1112,605,380,410,1436,1536,198,2023-24,112.63414634146342,43.292682926829265,28.036585365853657,7.378048780487805,4.634146341463414,13.560975609756097,17.51219512195122,0.5853658536585366
11,11,Indiana Pacers,82,47,35,0.573,3941,10110,3855,7599,50.7,1082,2891,37.4,1318,1685,78.2,827,2578,3405,2522,1059,631,481,440,1756,1501,250,2023-24,123.29268292682927,41.52439024390244,30.75609756097561,7.695121951219512,5.865853658536586,12.914634146341463,21.414634146341463,0.573170731707317
12,12,Los Angeles Lakers,82,47,35,0.573,3971,9679,3580,7177,49.9,969,2572,37.7,1550,1983,78.2,676,2859,3535,2339,1146,605,453,390,1283,1619,49,2023-24,118.03658536585365,43.109756097560975,28.524390243902438,7.378048780487805,5.524390243902439,13.975609756097562,15.646341463414634,0.573170731707317
13,13,Orlando Magic,82,47,35,0.573,3956,9058,3318,6964,47.6,903,2568,35.2,1519,2002,75.9,861,2608,3469,2023,1206,669,423,379,1618,1710,166,2023-24,110.46341463414635,42.30487804878049,24.670731707317074,8.158536585365853,5.158536585365853,14.707317073170731,19.73170731707317,0.573170731707317
14,14,Philadelphia 76ers,82,47,35,0.573,3956,9397,3404,7331,46.4,992,2733,36.3,1597,1934,82.6,906,2616,3522,2041,984,694,492,503,1668,1519,250,2023-24,114.59756097560975,42.951219512195124,24.890243902439025,8.463414634146341,6.0,12.0,20.341463414634145,0.573170731707317
15,15,Golden State Warriors,82,46,36,0.561,3966,9657,3582,7515,47.7,1211,3191,38.0,1282,1644,78.0,996,2834,3830,2402,1174,572,377,407,1598,1471,214,2023-24,117.76829268292683,46.707317073170735,29.29268292682927,6.975609756097561,4.597560975609756,14.317073170731707,19.48780487804878,0.5609756097560976
16,16,Miami Heat,82,46,36,0.561,3951,9032,3266,7022,46.5,1022,2765,37.0,1478,1806,81.8,766,2702,3468,2116,1038,617,280,388,1415,1550,144,2023-24,110.14634146341463,42.292682926829265,25.804878048780488,7.524390243902439,3.4146341463414633,12.658536585365853,17.25609756097561,0.5609756097560976
17,17,Sacramento Kings,82,46,36,0.561,3971,9558,3553,7455,47.7,1178,3219,36.6,1274,1710,74.5,888,2719,3607,2324,1078,625,342,370,1632,1504,143,2023-24,116.5609756097561,43.98780487804878,28.341463414634145,7.621951219512195,4.170731707317073,13.146341463414634,19.902439024390244,0.5609756097560976
18,18,Houston Rockets,82,41,41,0.5,3971,9375,3425,7459,45.9,1043,2964,35.2,1482,1916,77.3,940,2787,3727,2035,1045,639,375,482,1702,1609,92,2023-24,114.32926829268293,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.74390243902439,20.75609756097561,0.5
19,19,Chicago Bulls,82,39,43,0.476,3996,9206,3448,7339,47.0,941,2630,35.8,1369,1731,79.1,916,2677,3593,2048,1004,638,394,404,1541,1538,-118,2023-24,112.26829268292683,43.81707317073171,24.975609756097562,7.780487804878049,4.804878048780488,12.24390243902439,18.79268292682927,0.47560975609756095
20,20,Atlanta Hawks,82,36,46,0.439,3971,9703,3529,7584,46.5,1125,3092,36.4,1520,1906,79.7,1024,2639,3663,2180,1110,615,369,461,1522,1594,-179,2023-24,118.32926829268293,44.670731707317074,26.585365853658537,7.5,4.5,13.536585365853659,18.5609756097561,0.43902439024390244
21,21,Brooklyn Nets,82,32,50,0.39,3961,9050,3334,7307,45.6,1089,3010,36.2,1293,1711,75.6,938,2675,3613,2102,1076,556,424,409,1516,1496,-237,2023-24,110.36585365853658,44.0609756097561,25.634146341463413,6.780487804878049,5.170731707317073,13.121951219512194,18.48780487804878,0.3902439024390244
22,22,Utah Jazz,82,31,51,0.378,3961,9484,3443,7371,46.7,1060,2993,35.4,1538,1853,83.0,1002,2725,3727,2232,1285,537,458,528,1523,1577,-401,2023-24,115.65853658536585,45.451219512195124,27.21951219512195,6.548780487804878,5.585365853658536,15.670731707317072,18.573170731707318,0.3780487804878049
23,23,Memphis Grizzlies,82,27,55,0.329,3956,8677,3145,7229,43.5,1071,3097,34.6,1316,1722,76.4,896,2598,3494,2025,1236,673,501,535,1563,1539,-574,2023-24,105.8170731707317,42.609756097560975,24.695121951219512,8.207317073170731,6.109756097560975,15.073170731707316,19.0609756097561,0.32926829268292684
24,24,Toronto Raptors,82,25,57,0.305,3961,9213,3466,7356,47.1,942,2712,34.7,1339,1772,75.6,891,2607,3498,2335,1147,634,388,474,1509,1487,-528,2023-24,112.35365853658537,42.65853658536585,28.475609756097562,7.7317073170731705,4.7317073170731705,13.987804878048781,18.402439024390244,0.3048780487804878
25,25,San Antonio Spurs,82,22,60,0.268,3966,9192,3438,7436,46.2,1036,2983,34.7,1280,1637,78.2,849,2778,3627,2449,1242,584,520,380,1414,1470,-532,2023-24,112.09756097560975,44.23170731707317,29.865853658536587,7.121951219512195,6.341463414634147,15.146341463414634,17.24390243902439,0.2682926829268293
26,26,Charlotte Hornets,82,21,61,0.256,3946,8740,3281,7133,46.0,989,2788,35.5,1189,1512,78.6,765,2538,3303,2033,1129,562,371,396,1472,1432,-840,2023-24,106.58536585365853,40.28048780487805,24.79268292682927,6.853658536585366,4.524390243902439,13.768292682926829,17.951219512195124,0.25609756097560976
27,27,Portland Trail Blazers,82,21,61,0.256,3976,8722,3227,7356,43.9,939,2723,34.5,1329,1680,79.1,1036,2469,3505,1894,1249,627,354,528,1654,1467,-740,2023-24,106.36585365853658,42.74390243902439,23.097560975609756,7.646341463414634,4.317073170731708,15.231707317073171,20.170731707317074,0.25609756097560976
28,28,Washington Wizards,82,15,67,0.183,3946,9327,3523,7493,47.0,1015,2915,34.8,1266,1657,76.4,755,2613,3368,2290,1147,623,415,496,1637,1473,-762,2023-24,113.7439024390244,41.073170731707314,27.926829268292682,7.597560975609756,5.060975609756097,13.987804878048781,19.963414634146343,0.18292682926829268
29,29,Detroit Pistons,82,14,68,0.171,3951,9010,3353,7236,46.3,906,2602,34.8,1398,1780,78.5,861,2692,3553,2088,1248,531,384,490,1688,1457,-747,2023-24,109.8780487804878,43.329268292682926,25.463414634146343,6.475609756097561,4.682926829268292,15.21951219512195,20.585365853658537,0.17073170731707318
